event_id_cnty,event_date,year,event_type,actor1,actor2,latitude,longitude,fatalities,dyad_name
UKR25539,17/09/2019 00:00,2019,Violence against civilians,Unidentified Armed Group (Ukraine),Civilians (Ukraine),47.1298,37.571,1,Unidentified Armed Group (Ukraine) - Civilians (Ukraine)
UKR25546,17/09/2019 00:00,2019,Explosions/Remote violence,NAF: United Armed Forces of Novorossiya,Military Forces of Ukraine (2019-),47.7158,37.5919,1,NAF: United Armed Forces of Novorossiya - Military Forces of Ukraine (2019-)
UKR25486,16/09/2019 00:00,2019,Explosions/Remote violence,Unidentified Armed Group (Ukraine),Military Forces of Ukraine (2019-),48.7234,38.635,2,Unidentified Armed Group (Ukraine) - Military Forces of Ukraine (2019-)
UKR25489,16/09/2019 00:00,2019,Explosions/Remote violence,Military Forces of Ukraine (2019-),NAF: United Armed Forces of Novorossiya,48.692,38.6036,1,Military Forces of Ukraine (2019-) - NAF: United Armed Forces of Novorossiya
UKR25248,13/09/2019 00:00,2019,Battles,NAF: United Armed Forces of Novorossiya,Military Forces of Ukraine (2019-),47.7158,37.5919,1,NAF: United Armed Forces of Novorossiya - Military Forces of Ukraine (2019-)
UKR25150,11/09/2019 00:00,2019,Battles,NAF: United Armed Forces of Novorossiya,Military Forces of Ukraine (2019-),48.0595,37.5754,1,NAF: United Armed Forces of Novorossiya - Military Forces of Ukraine (2019-)
UKR25146,11/09/2019 00:00,2019,Battles,Military Forces of Ukraine (2019-),NAF: United Armed Forces of Novorossiya,48.6686,38.7544,1,Military Forces of Ukraine (2019-) - NAF: United Armed Forces of Novorossiya
UKR25149,11/09/2019 00:00,2019,Explosions/Remote violence,NAF: United Armed Forces of Novorossiya,Military Forces of Ukraine (2019-),47.6298,37.7563,1,NAF: United Armed Forces of Novorossiya - Military Forces of Ukraine (2019-)
UKR25114,10/09/2019 00:00,2019,Battles,NAF: United Armed Forces of Novorossiya,Military Forces of Ukraine (2019-),47.6298,37.7563,1,NAF: United Armed Forces of Novorossiya - Military Forces of Ukraine (2019-)
RUS3106,09/09/2019 00:00,2019,Battles,Unidentified Armed Group (Russia),Police Forces of Russia (2000-),43.3119,45.689,1,Unidentified Armed Group (Russia) - Police Forces of Russia (2000-)
