"","id","year","date_start","longitude","latitude","dyad_name","side_a","side_b","deaths_total","event_relevant","event_civilians","al_shabaab_involved","al_shabaab_involved_txt"
"3893",208769,2015,"2015-08-31",42,3,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",32,1,0,1,"Yes"
"3894",208787,2015,"2015-08-31",45.366667,2.066667,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",1,1,0,1,"Yes"
"3895",208790,2015,"2015-09-01",42.750556,0.072222,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",19,1,0,1,"Yes"
"3896",208801,2015,"2015-09-01",46.616667,4.683333,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",10,1,0,1,"Yes"
"3897",209114,2015,"2015-09-07",44.76388,1.71305,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",4,1,0,1,"Yes"
"3898",209142,2015,"2015-09-08",44.533333,1.783333,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",16,1,0,1,"Yes"
"3899",209213,2015,"2015-09-15",42.285637,2.338564,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",1,1,0,1,"Yes"
"3900",209218,2015,"2015-09-15",45.366667,2.066667,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",1,1,0,1,"Yes"
"3901",209305,2015,"2015-09-17",42.545365,-0.358173,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",4,1,0,1,"Yes"
"3902",209453,2015,"2015-09-18",44.683333,2.65,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",14,1,0,1,"Yes"
"3903",209454,2015,"2015-09-19",42.3,3.22,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",3,1,0,1,"Yes"
"3904",209455,2015,"2015-09-19",41.85162,2.26694,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",3,1,0,1,"Yes"
"3905",209456,2015,"2015-09-17",42,3,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",3,1,0,1,"Yes"
"3906",209471,2015,"2015-09-21",45.366667,2.066667,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",11,1,0,1,"Yes"
"3907",209496,2015,"2015-09-23",43.75718,3.53851,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",10,1,0,1,"Yes"
"3908",209507,2015,"2015-09-25",42,3,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",2,1,0,1,"Yes"
"3909",209515,2015,"2015-09-26",42.545365,-0.358173,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",4,1,0,1,"Yes"
