"","id","year","date_start","longitude","latitude","dyad_name","side_a","side_b","deaths_total","event_relevant","event_civilians","farc_eln_involved"
"2264",221947,1998,"1998-08-30",-74.473298,8.297102,"AUC - FARC","AUC","FARC",13,1,0,"FARC"
"2265",221948,1998,"1998-09-12",-73.31667,8.46667,"Government of Colombia - ELN","Government of Colombia","ELN",5,1,0,"ELN"
"2266",221952,1998,"1998-10-26",-76,0.5,"Government of Colombia - FARC","Government of Colombia","FARC",5,1,0,"FARC"
"2267",221957,1998,"1998-09-15",-71.763716,6.156757,"Government of Colombia - FARC","Government of Colombia","FARC",6,1,0,"FARC"
"2268",221958,1998,"1998-09-20",-77.3352,1.74173,"Government of Colombia - FARC","Government of Colombia","FARC",7,1,0,"FARC"
"2269",221962,1998,"1998-09-24",-76.267225,7.001719,"Government of Colombia - FARC","Government of Colombia","FARC",8,1,0,"FARC"
"2270",221970,1998,"1998-10-02",-73.15361,7.15361,"Government of Colombia - EPL - Megateo","Government of Colombia","EPL - Megateo",1,1,0,"Other conflict actors"
"2271",221971,1998,"1998-10-11",-73.91778,5.76139,"Government of Colombia - ELN","Government of Colombia","ELN",3,1,0,"ELN"
"2272",221980,1998,"1998-10-27",-73.148889,8.323333,"Government of Colombia - FARC","Government of Colombia","FARC",22,1,0,"FARC"
"2273",221981,1998,"1998-11-02",-70.23472,1.25778,"Government of Colombia - FARC","Government of Colombia","FARC",28,1,0,"FARC"
"2274",221990,1998,"1998-11-18",-76.66269,7.76009,"AUC - FARC","AUC","FARC",32,1,0,"FARC"
"2275",221991,1998,"1998-11-10",-75.25,4,"Government of Colombia - FARC","Government of Colombia","FARC",10,1,0,"FARC"
"2276",221995,1998,"1998-11-25",-72,1.916667,"Government of Colombia - FARC","Government of Colombia","FARC",11,1,0,"FARC"
"2277",221996,1998,"1998-11-28",-76.500748,0.513278,"Government of Colombia - FARC","Government of Colombia","FARC",6,1,0,"FARC"
"2278",221997,1998,"1998-11-30",-76,0.5,"Government of Colombia - FARC","Government of Colombia","FARC",2,1,0,"FARC"
"2279",221998,1998,"1998-11-30",-75.101645,5.964261,"Government of Colombia - FARC","Government of Colombia","FARC",8,1,0,"FARC"
"2280",222001,1998,"1998-12-01",-75.185241,6.057299,"Government of Colombia - FARC","Government of Colombia","FARC",3,1,0,"FARC"
"2281",222003,1998,"1998-12-11",-75.51738,5.06889,"Government of Colombia - ELN","Government of Colombia","ELN",1,1,0,"ELN"
"2282",222004,1998,"1998-12-15",-77.01389,1.6725,"Government of Colombia - FARC","Government of Colombia","FARC",7,1,0,"FARC"
"2283",222005,1998,"1998-12-13",-71.34556,6.54056,"Government of Colombia - FARC","Government of Colombia","FARC",37,1,0,"FARC"
"2284",222009,1998,"1998-12-27",-75.666667,8.333333,"AUC - FARC","AUC","FARC",38,1,0,"FARC"
"2285",222010,1999,"1999-01-07",-73.5,9.333333,"AUC - FARC","AUC","FARC",2,1,0,"FARC"
"2286",222015,1999,"1999-01-20",-73.922554,7.477544,"Government of Colombia - FARC","Government of Colombia","FARC",7,1,0,"FARC"
"2287",222025,1999,"1999-02-13",-71,6.666667,"Government of Colombia - FARC","Government of Colombia","FARC",70,1,0,"FARC"
"2288",222029,1999,"1999-05-01",-72.560321,6.316839,"Government of Colombia - FARC","Government of Colombia","FARC",1,1,0,"FARC"
"2289",222032,1999,"1999-03-31",-73.63528,7.22778,"Government of Colombia - FARC","Government of Colombia","FARC",1,1,0,"FARC"
"2290",222033,1999,"1999-03-09",-76.48494,3.00945,"Government of Colombia - FARC","Government of Colombia","FARC",5,1,0,"FARC"
"2291",222034,1999,"1999-03-11",-76.5225,3.437222,"Government of Colombia - FARC","Government of Colombia","FARC",4,1,0,"FARC"
"2292",222036,1999,"1999-03-12",-74.3644,4.3372,"Government of Colombia - FARC","Government of Colombia","FARC",2,1,0,"FARC"
"2293",222037,1999,"1999-03-10",-75.120232,9.717396,"AUC - FARC","AUC","FARC",73,1,0,"FARC"
"2294",222038,1999,"1999-03-16",-76,5,"Government of Colombia - FARC","Government of Colombia","FARC",44,1,0,"FARC"
"2295",222039,1999,"1999-05-01",-76.57039,2.62271,"Government of Colombia - FARC","Government of Colombia","FARC",7,1,0,"FARC"
"2296",222041,1999,"1999-04-08",-76.833333,2.5,"Government of Colombia - FARC","Government of Colombia","FARC",20,1,0,"FARC"
"2297",222042,1999,"1999-04-14",-76.5,7.333333,"Government of Colombia - FARC","Government of Colombia","FARC",39,1,0,"FARC"
"2298",222043,1999,"1999-04-20",-77.36507,8.66372,"Government of Colombia - FARC","Government of Colombia","FARC",1,1,0,"FARC"
"2299",222044,1999,"1999-04-23",-75.563591,6.25184,"Government of Colombia - FARC","Government of Colombia","FARC",4,1,0,"FARC"
"2300",222045,1999,"1999-04-21",-77.36507,8.66372,"Government of Colombia - FARC","Government of Colombia","FARC",1,1,0,"FARC"
"2301",222046,1999,"1999-05-01",-76.267225,7.001719,"Government of Colombia - FARC","Government of Colombia","FARC",6,1,0,"FARC"
"2302",222047,1999,"1999-05-15",-72.00159,5.72992,"Government of Colombia - FARC","Government of Colombia","FARC",1,1,0,"FARC"
"2303",222050,1999,"1999-05-06",-75.161219,5.383456,"Government of Colombia - FARC","Government of Colombia","FARC",10,1,0,"FARC"
"2304",222051,1999,"1999-05-24",-75.5,7,"Government of Colombia - FARC","Government of Colombia","FARC",4,1,0,"FARC"
"2305",222052,1999,"1999-05-24",-75.5,7,"AUC - FARC","AUC","FARC",6,1,0,"FARC"
"2306",222054,1999,"1999-05-12",-75.185323,6.143526,"Government of Colombia - ELN","Government of Colombia","ELN",13,1,0,"ELN"
"2307",222055,1999,"1999-05-28",-67.48588,6.18903,"Government of Colombia - FARC","Government of Colombia","FARC",3,1,0,"FARC"
"2308",222057,1999,"1999-05-29",-71.5,5.5,"Government of Colombia - FARC","Government of Colombia","FARC",6,1,0,"FARC"
"2309",222058,1999,"1999-05-30",-76.5225,3.437222,"Government of Colombia - ELN","Government of Colombia","ELN",3,1,0,"ELN"
"2310",222064,1999,"1999-06-06",-73.173323,10.38439,"Government of Colombia - FARC","Government of Colombia","FARC",8,1,0,"FARC"
"2311",222069,1999,"1999-06-14",-72.73583,8.638955,"AUC - FARC","AUC","FARC",10,1,0,"FARC"
"2312",222070,1999,"1999-06-10",-72.49718,6.48277,"Government of Colombia - FARC","Government of Colombia","FARC",9,1,0,"FARC"
"2313",222071,1999,"1999-06-21",-75.666667,8.333333,"AUC - FARC","AUC","FARC",14,1,0,"FARC"
"2314",222081,1999,"1999-06-22",-75.666667,8.333333,"Government of Colombia - FARC","Government of Colombia","FARC",58,1,0,"FARC"
"2315",222083,1999,"1999-06-26",-77.66667,1.41667,"Government of Colombia - FARC","Government of Colombia","FARC",2,1,0,"FARC"
"2316",222084,1999,"1999-07-07",-76.243204,7.61137,"Government of Colombia - FARC","Government of Colombia","FARC",1,1,0,"FARC"
"2317",222085,1999,"1999-07-08",-74.0025,4.25472,"Government of Colombia - FARC","Government of Colombia","FARC",76,1,0,"FARC"
"2318",222086,1999,"1999-07-01",-75.2675,3.80028,"AUC - ELN","AUC","ELN",4,1,0,"ELN"
"2319",222088,1999,"1999-07-13",-72.77238,7.53941,"Government of Colombia - FARC","Government of Colombia","FARC",2,1,0,"FARC"
"2320",222091,1999,"1999-07-17",-74.062827,4.649178,"Government of Colombia - FARC","Government of Colombia","FARC",6,1,0,"FARC"
"2321",222092,1999,"1999-07-10",-71.763716,6.156757,"Government of Colombia - FARC","Government of Colombia","FARC",38,1,0,"FARC"
"2322",222093,1999,"1999-07-10",-75.284655,1.678168,"Government of Colombia - FARC","Government of Colombia","FARC",19,1,0,"FARC"
"2323",222101,1999,"1999-07-20",-75.120232,9.717396,"Government of Colombia - FARC","Government of Colombia","FARC",1,1,0,"FARC"
"2324",222106,1999,"1999-08-01",-76.62587,7.882986,"Government of Colombia - FARC","Government of Colombia","FARC",8,1,0,"FARC"
"2325",222109,1999,"1999-07-30",-75.563591,6.25184,"Government of Colombia - FARC","Government of Colombia","FARC",10,1,0,"FARC"
"2326",222111,1999,"1999-07-30",-75.17656,5.60893,"Government of Colombia - FARC","Government of Colombia","FARC",18,1,0,"FARC"
"2327",222112,1999,"1999-08-01",-76.72822,8.09263,"Government of Colombia - FARC","Government of Colombia","FARC",16,1,0,"FARC"
"2328",222114,1999,"1999-08-05",-77.762,7.10421,"AUC - FARC","AUC","FARC",5,1,0,"FARC"
"2329",222115,1999,"1999-08-09",-73.416667,6.833333,"Government of Colombia - ELN","Government of Colombia","ELN",5,1,0,"ELN"
"2330",222128,1999,"1999-08-17",-75.116068,5.030673,"Government of Colombia - ELN","Government of Colombia","ELN",11,1,0,"ELN"
"2331",222129,1999,"1999-08-31",-71.763716,6.156757,"Government of Colombia - FARC","Government of Colombia","FARC",25,1,0,"FARC"
"2332",222142,2004,"2004-12-29",-75.63333,6.08333,"Government of Colombia - ELN","Government of Colombia","ELN",2,1,0,"ELN"
"2333",222143,2004,"2004-12-29",-75,6,"Government of Colombia - ELN","Government of Colombia","ELN",2,1,0,"ELN"
"2334",222144,1999,"1999-09-03",-74.41667,3.86667,"Government of Colombia - FARC","Government of Colombia","FARC",8,1,0,"FARC"
"2335",222145,1999,"1999-09-07",-76.68859,3.65685,"Government of Colombia - FARC","Government of Colombia","FARC",30,1,0,"FARC"
"2336",222155,2004,"2004-12-20",-76.166667,3.416667,"Government of Colombia - FARC","Government of Colombia","FARC",4,1,0,"FARC"
"2337",222156,2004,"2004-12-21",-75.25,3.91667,"Government of Colombia - FARC","Government of Colombia","FARC",5,1,0,"FARC"
"2338",222157,2004,"2004-12-22",-75,5.75,"Government of Colombia - FARC","Government of Colombia","FARC",2,1,0,"FARC"
"2339",222163,1999,"1999-09-21",-74.91667,6.2,"Government of Colombia - FARC","Government of Colombia","FARC",15,1,0,"FARC"
"2340",222167,1999,"1999-10-05",-76.57039,2.62271,"Government of Colombia - FARC","Government of Colombia","FARC",12,1,0,"FARC"
"2341",222173,1999,"1999-10-03",-73.143073,6.21243,"Government of Colombia - FARC","Government of Colombia","FARC",4,1,0,"FARC"
"2342",222174,1999,"1999-10-03",-75.75,2.75,"Government of Colombia - FARC","Government of Colombia","FARC",1,1,0,"FARC"
"2343",222175,1999,"1999-10-03",-75.27883,4.81714,"Government of Colombia - ELN","Government of Colombia","ELN",2,1,0,"ELN"
"2344",222177,1999,"1999-10-04",-73.35604,8.23773,"Government of Colombia - EPL - Megateo","Government of Colombia","EPL - Megateo",1,1,0,"Other conflict actors"
"2345",222178,2000,"2000-02-12",-73.253224,10.46314,"Government of Colombia - FARC","Government of Colombia","FARC",2,1,0,"FARC"
"2346",222179,2000,"2000-02-12",-74.333333,9,"Government of Colombia - ELN","Government of Colombia","ELN",2,1,0,"ELN"
"2347",222180,1999,"1999-10-07",-74.6989,7.07993,"Government of Colombia - ELN","Government of Colombia","ELN",2,1,0,"ELN"
"2348",222181,1999,"1999-10-07",-71.2566,6.323104,"Government of Colombia - ELN","Government of Colombia","ELN",4,1,0,"ELN"
"2349",222183,1999,"1999-10-19",-73.872668,3.369851,"Government of Colombia - FARC","Government of Colombia","FARC",3,1,0,"FARC"
"2350",222184,1999,"1999-10-04",-73.94331,8.45928,"AUC - FARC","AUC","FARC",16,1,0,"FARC"
"2351",222186,1999,"1999-10-19",-76.19536,4.084656,"Government of Colombia - FARC","Government of Colombia","FARC",1,1,0,"FARC"
"2352",222187,1999,"1999-10-19",-75.39444,7.28778,"Government of Colombia - ELN","Government of Colombia","ELN",3,1,0,"ELN"
"2353",222190,1999,"1999-10-17",-75.333333,5.266667,"Government of Colombia - FARC","Government of Colombia","FARC",5,1,0,"FARC"
"2354",222191,1999,"1999-10-20",-75.28944,7.02472,"Government of Colombia - ELN","Government of Colombia","ELN",1,1,0,"ELN"
"2355",222193,2000,"2000-03-13",-74.166667,5,"Government of Colombia - FARC","Government of Colombia","FARC",2,1,0,"FARC"
"2356",222197,1999,"1999-11-06",-76.911243,0.343144,"Government of Colombia - FARC","Government of Colombia","FARC",5,1,0,"FARC"
"2357",222198,1999,"1999-11-05",-73.922554,7.477544,"AUC - FARC","AUC","FARC",15,1,0,"FARC"
"2358",222199,1999,"1999-11-06",-73.93328,10.18544,"Government of Colombia - ELN","Government of Colombia","ELN",3,1,0,"ELN"
"2359",222204,1999,"1999-12-03",-75.54736,2.38678,"Government of Colombia - FARC","Government of Colombia","FARC",7,1,0,"FARC"
"2360",222208,1999,"1999-11-08",-74.52157,4.43713,"Government of Colombia - FARC","Government of Colombia","FARC",3,1,0,"FARC"
"2361",222210,1999,"1999-11-11",-74.062827,4.649178,"Government of Colombia - FARC","Government of Colombia","FARC",2,1,0,"FARC"
"2362",222211,1999,"1999-11-14",-74.23247,5.245701,"Government of Colombia - FARC","Government of Colombia","FARC",2,1,0,"FARC"
"2363",222212,1999,"1999-11-16",-74.66267,-0.05623,"Government of Colombia - FARC","Government of Colombia","FARC",5,1,0,"FARC"
"2364",222213,1999,"1999-11-16",-75.460305,6.647375,"Government of Colombia - FARC","Government of Colombia","FARC",2,1,0,"FARC"
"2365",222214,1999,"1999-11-16",-75,3.166667,"Government of Colombia - FARC","Government of Colombia","FARC",1,1,0,"FARC"
"2366",222216,1999,"1999-11-16",-74.93004,3.75118,"Government of Colombia - FARC","Government of Colombia","FARC",6,1,0,"FARC"
"2367",222217,1999,"1999-11-17",-67.923889,3.865278,"Government of Colombia - FARC","Government of Colombia","FARC",31,1,0,"FARC"
"2368",222221,1999,"1999-11-18",-75.6825,6.903333,"Government of Colombia - FARC","Government of Colombia","FARC",6,1,0,"FARC"
"2369",222226,1999,"1999-11-23",-72.163333,5.829722,"Government of Colombia - FARC","Government of Colombia","FARC",1,1,0,"FARC"
"2370",222227,2000,"2000-01-27",-75.333333,6.866667,"Government of Colombia - ELN","Government of Colombia","ELN",3,1,0,"ELN"
"2371",222229,1999,"1999-11-27",-75.564785,2.182228,"Government of Colombia - FARC","Government of Colombia","FARC",3,1,0,"FARC"
"2372",222230,1999,"1999-12-09",-75.919065,1.033271,"Government of Colombia - FARC","Government of Colombia","FARC",10,1,0,"FARC"
"2373",222235,1999,"1999-12-11",-74.99366,6.04343,"Government of Colombia - FARC","Government of Colombia","FARC",8,1,0,"FARC"
"2374",222238,1999,"1999-12-15",-74.062827,4.649178,"Government of Colombia - FARC","Government of Colombia","FARC",8,1,0,"FARC"
"2375",222239,1999,"1999-12-12",-77.762,7.10421,"Government of Colombia - FARC","Government of Colombia","FARC",5,1,0,"FARC"
"2376",222243,1999,"1999-12-12",-77.762,7.10421,"Government of Colombia - FARC","Government of Colombia","FARC",45,1,0,"FARC"
"2377",222245,1999,"1999-12-13",-72.108524,7.00078,"Government of Colombia - FARC","Government of Colombia","FARC",2,1,0,"FARC"
"2378",222246,1999,"1999-12-17",-76.89361,0.37083,"Government of Colombia - FARC","Government of Colombia","FARC",4,1,0,"FARC"
"2379",222247,2000,"2000-02-13",-73.90972,7.00621,"Government of Colombia - FARC","Government of Colombia","FARC",1,1,0,"FARC"
"2380",222248,1999,"1999-12-15",-75.45,2.583333,"Government of Colombia - FARC","Government of Colombia","FARC",2,1,0,"FARC"
"2381",222251,1999,"1999-12-15",-75.36233,9.51176,"Government of Colombia - FARC","Government of Colombia","FARC",7,1,0,"FARC"
"2382",222252,1999,"1999-12-19",-73.08333,10.51667,"Government of Colombia - FARC","Government of Colombia","FARC",9,1,0,"FARC"
"2383",222257,1999,"1999-12-25",-78,1.5,"Government of Colombia - FARC","Government of Colombia","FARC",3,1,0,"FARC"
"2384",222259,1999,"1999-12-25",-75.22391,4.72626,"Government of Colombia - ELN","Government of Colombia","ELN",1,1,0,"ELN"
"2385",222261,2000,"2000-01-16",-74.03736,8.52692,"Government of Colombia - FARC","Government of Colombia","FARC",12,1,0,"FARC"
"2386",222266,2000,"2000-01-04",-73.416667,6.833333,"Government of Colombia - EPL - Megateo","Government of Colombia","EPL - Megateo",14,1,0,"Other conflict actors"
"2387",222267,2000,"2000-01-06",-75.0114,6.59841,"Government of Colombia - ELN","Government of Colombia","ELN",2,1,0,"ELN"
