"","X.2","X.1","X","id","year","date_start","conflict_name","dyad_name","longitude","latitude","where_prec","priogrid_gid","country","country_id","deaths_a","deaths_b","deaths_civilians","deaths_unknown","side_a_new_id","side_a","side_a_relevant","side_b_new_id","side_b","side_b_relevant","deaths_battle","deaths_total","event_relevant","event_civilians","event_community","event_rel_out"
"2321",2321,2321,2321,231603,2016,"2016-01-23","Cameroon: Islamic State","Government of Cameroon - IS",14.83333,12.08333,3,147270,"Cameroon",471,0,2,0,0,83,"Government of Cameroon",1,234,"IS",1,2,2,1,0,0,0
"2322",2322,2322,2322,231605,2016,"2016-01-29","IS - Civilians","IS - Civilians",14.2056,11.10682,3,145829,"Cameroon",471,0,0,1,0,234,"IS",1,1,"Civilians",NA,0,1,0,1,0,0
"2323",2323,2323,2323,231606,2016,"2016-01-14","Nigeria: Islamic State","Government of Nigeria - IS",13.712983,11.103593,3,145828,"Nigeria",475,0,10,0,0,84,"Government of Nigeria",1,234,"IS",1,10,10,1,0,0,0
"2324",2324,2324,2324,231608,2016,"2016-01-22","Nigeria: Islamic State","Government of Nigeria - IS",13.14579,10.76891,2,145107,"Nigeria",475,0,2,0,0,84,"Government of Nigeria",1,234,"IS",1,2,2,1,0,0,0
"2325",2325,2325,2325,231610,2016,"2016-01-22","Nigeria: Islamic State","Government of Nigeria - IS",12.8782,10.63582,3,145106,"Nigeria",475,0,2,0,0,84,"Government of Nigeria",1,234,"IS",1,2,2,1,0,0,0
"2326",2326,2326,2326,231611,2016,"2016-01-23","IS - Civilians","IS - Civilians",14.171111,11.233056,1,145829,"Cameroon",471,0,0,1,0,234,"IS",1,1,"Civilians",NA,0,1,0,1,0,0
"2327",2327,2327,2327,231612,2016,"2016-01-14","Agatu - Fulani","Agatu - Fulani",7.59744,8.26937,3,141496,"Nigeria",475,0,0,0,30,4120,"Agatu",NA,607,"Fulani",NA,0,30,0,0,0,0
"2328",2328,2328,2328,231613,2016,"2016-01-15","Nigeria: Islamic State","Government of Nigeria - IS",12.31264,11.48451,1,145825,"Nigeria",475,1,0,0,0,84,"Government of Nigeria",1,234,"IS",1,1,1,1,0,0,0
"2329",2329,2329,2329,231614,2016,"2016-01-15","Nigeria: Islamic State","Government of Nigeria - IS",11.7539,12.1076,3,147264,"Nigeria",475,0,17,0,0,84,"Government of Nigeria",1,234,"IS",1,17,17,1,0,0,0
"2330",2330,2330,2330,231709,2016,"2016-09-08","Christians (Nigeria) - Muslims (Nigeria)","Christians (Nigeria) - Muslims (Nigeria)",8.36137,9.41031,1,142937,"Nigeria",475,2,0,0,0,1020,"Christians (Nigeria)",NA,1021,"Muslims (Nigeria)",NA,2,2,0,0,1,0
"2331",2331,2331,2331,231710,2016,"2016-09-11","Christians (Nigeria) - Muslims (Nigeria)","Christians (Nigeria) - Muslims (Nigeria)",8.36137,9.41031,1,142937,"Nigeria",475,1,0,0,0,1020,"Christians (Nigeria)",NA,1021,"Muslims (Nigeria)",NA,1,1,0,0,1,0
"2332",2332,2332,2332,231713,2016,"2016-08-13","Christians (Nigeria) - Muslims (Nigeria)","Christians (Nigeria) - Muslims (Nigeria)",8.36137,9.41031,1,142937,"Nigeria",475,7,0,0,0,1020,"Christians (Nigeria)",NA,1021,"Muslims (Nigeria)",NA,7,7,0,0,1,0
"2333",2333,2333,2333,231714,2016,"2016-08-01","Christians (Nigeria) - Muslims (Nigeria)","Christians (Nigeria) - Muslims (Nigeria)",8.36137,9.41031,2,142937,"Nigeria",475,11,0,0,0,1020,"Christians (Nigeria)",NA,1021,"Muslims (Nigeria)",NA,11,11,0,0,1,0
"2334",2334,2334,2334,231717,2016,"2016-09-11","Nigeria:Government","Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",13.91815,12.03609,2,147268,"Nigeria",475,0,1,0,0,84,"Government of Nigeria",1,1051,"Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",1,1,1,1,0,0,0
"2335",2335,2335,2335,231723,2016,"2016-09-12","Niger: Islamic State","Government of Niger - IS",13.005232,13.586667,5,149427,"Niger",436,0,8,0,0,75,"Government of Niger",1,234,"IS",1,8,8,1,0,0,0
"2336",2336,2336,2336,231735,2016,"2016-09-14","Nigeria: Islamic State","Government of Nigeria - IS",12.033333,12.716667,3,147985,"Nigeria",475,0,4,0,0,84,"Government of Nigeria",1,234,"IS",1,4,4,1,0,0,0
"2337",2337,2337,2337,231739,2016,"2016-09-18","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians",13.066671,10.916587,1,145107,"Nigeria",475,0,0,8,0,1051,"Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",1,1,"Civilians",NA,0,8,0,1,0,0
"2338",2338,2338,2338,231741,2016,"2016-09-19","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians",12.76417,11.09826,3,145826,"Nigeria",475,0,0,4,0,1051,"Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",1,1,"Civilians",NA,0,4,0,1,0,0
"2339",2339,2339,2339,231748,2016,"2016-09-22","Nigeria: Islamic State","Government of Nigeria - IS",13.26438,13.6169,1,149427,"Nigeria",475,2,15,0,0,84,"Government of Nigeria",1,234,"IS",1,17,17,1,0,0,0
"2340",2340,2340,2340,231751,2016,"2016-09-25","Nigeria: Islamic State","Government of Nigeria - IS",14.0223,12.19763,2,147269,"Nigeria",475,4,22,0,0,84,"Government of Nigeria",1,234,"IS",1,26,26,1,0,0,0
"2341",2341,2341,2341,231752,2016,"2016-09-25","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians",14.21731,12.37066,2,147269,"Nigeria",475,0,0,5,0,1051,"Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",1,1,"Civilians",NA,0,5,0,1,0,0
"2342",2342,2342,2342,231754,2016,"2016-09-25","Nigeria: Islamic State","Government of Nigeria - IS",13.96658,11.32643,2,145828,"Nigeria",475,4,3,0,0,84,"Government of Nigeria",1,234,"IS",1,7,7,1,0,0,0
"2343",2343,2343,2343,231756,2016,"2016-09-24","Greenlanders - NDV","Greenlanders - NDV",6.65442,5.3114,1,137174,"Nigeria",475,0,0,0,4,1173,"Greenlanders",NA,657,"NDV",NA,0,4,0,0,0,0
"2344",2344,2344,2344,231760,2016,"2016-09-24","Greenlanders - NDV","Greenlanders - NDV",6.61298,5.25114,1,137174,"Nigeria",475,0,0,0,2,1173,"Greenlanders",NA,657,"NDV",NA,0,2,0,0,0,0
"2345",2345,2345,2345,231761,2016,"2016-09-26","Christians (Nigeria) - Muslims (Nigeria)","Christians (Nigeria) - Muslims (Nigeria)",8.26813,9.38269,3,142937,"Nigeria",475,3,0,0,0,1020,"Christians (Nigeria)",NA,1021,"Muslims (Nigeria)",NA,3,3,0,0,1,0
"2346",2346,2346,2346,231762,2016,"2016-09-26","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians",12.84702,10.86583,2,145106,"Nigeria",475,0,0,4,0,1051,"Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",1,1,"Civilians",NA,0,4,0,1,0,0
"2347",2347,2347,2347,231763,2016,"2016-09-26","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians",12.961807,10.862826,1,145106,"Nigeria",475,0,0,4,0,1051,"Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",1,1,"Civilians",NA,0,4,0,1,0,0
"2348",2348,2348,2348,231765,2016,"2016-09-28","Nigeria:Government","Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",13.45574,11.21673,1,145827,"Nigeria",475,0,9,0,0,84,"Government of Nigeria",1,1051,"Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",1,9,9,1,0,0,0
"2349",2349,2349,2349,231767,2016,"2016-07-01","Niger: Islamic State","Government of Niger - IS",12.611345,13.31536,4,148706,"Niger",436,7,81,0,0,75,"Government of Niger",1,234,"IS",1,88,88,1,0,0,0
"2350",2350,2350,2350,231769,2016,"2016-10-06","Nigeria:Government","Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",13.712982,11.103593,1,145828,"Nigeria",475,0,2,0,0,84,"Government of Nigeria",1,1051,"Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",1,2,2,1,0,0,0
"2351",2351,2351,2351,231881,2016,"2016-10-12","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians",13.250751,11.870457,1,146547,"Nigeria",475,0,0,8,0,1051,"Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",1,1,"Civilians",NA,0,8,0,1,0,0
"2352",2352,2352,2352,231882,2016,"2016-10-10","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians",13.29155,11.89912,3,146547,"Nigeria",475,0,0,5,0,1051,"Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",1,1,"Civilians",NA,0,5,0,1,0,0
"2353",2353,2353,2353,231885,2016,"2016-10-02","Nigeria:Government","Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",13.416667,11.25,2,145827,"Nigeria",475,0,2,0,0,84,"Government of Nigeria",1,1051,"Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",1,2,2,1,0,0,0
"2354",2354,2354,2354,231894,2016,"2016-10-15","Christians (Nigeria) - Muslims (Nigeria)","Christians (Nigeria) - Muslims (Nigeria)",8.35371,9.43251,2,142937,"Nigeria",475,21,0,0,0,1020,"Christians (Nigeria)",NA,1021,"Muslims (Nigeria)",NA,21,21,0,0,1,0
"2355",2355,2355,2355,231897,2016,"2016-10-16","Nigeria: Islamic State","Government of Nigeria - IS",12.71668,13.300203,1,148706,"Nigeria",475,26,0,0,0,84,"Government of Nigeria",1,234,"IS",1,26,26,1,0,0,0
"2356",2356,2356,2356,231899,2016,"2016-10-17","Christians (Nigeria) - Muslims (Nigeria)","Christians (Nigeria) - Muslims (Nigeria)",8.35371,9.43251,1,142937,"Nigeria",475,0,14,0,0,1020,"Christians (Nigeria)",NA,1021,"Muslims (Nigeria)",NA,14,14,0,0,1,0
"2357",2357,2357,2357,231959,2016,"2016-10-29","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians",13.160274,11.84644,1,146547,"Nigeria",475,0,0,8,0,1051,"Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",1,1,"Civilians",NA,0,8,0,1,0,0
"2358",2358,2358,2358,231963,2016,"2016-10-30","Nigeria:Government","Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",13.160274,11.84644,1,146547,"Nigeria",475,0,1,0,0,84,"Government of Nigeria",1,1051,"Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",1,1,1,1,0,0,0
"2359",2359,2359,2359,231965,2016,"2016-10-30","Nigeria: Islamic State","Government of Nigeria - IS",12.76417,11.09826,3,145826,"Nigeria",475,5,0,0,4,84,"Government of Nigeria",1,234,"IS",1,5,9,1,0,0,0
